an.onset	onset detector for arrays / детектор атаки для массивов
an.onset~	the signal onset detector / детектор атаки сигнала
an.pitchtrack~	the signal pitch tracker / отслеживает высоту сигнала
ceammc/helmholtz~	the signal pitch tracker / отслеживает высоту сигнала
helmholtz~	the signal pitch tracker / отслеживает высоту сигнала
an.rms~	root-mean-square of the signal with moving-average algorithm / среднее квадратичное сигнала с алгоритмом скользящего среднего
an.tempo~	the signal tempo detector / детектор темпа сигнала
an.zero~	calculate the signal zero crossing count/rate/freq / вычисление частоты/скорости/числа пересечения сигналом нулевого значения
array.bpm	BPM calculator / вычисление BPM
array.circular	read/write to the array as circular buffer / чтение/запись в массив, как в кольцевой буфер
array.circular~	read/write the signal into the array like in a circular buffer / чтение/запись сигнала в массив, как в кольцевой буфер
array.convolve	FFT convolution of the array / FFT свертка массива
array.copy	copy samples from the one array to another / копирование семплов из одного массива в другой
array.do	iterate and modify the array content via the side-chain / обход и модификация содержимого массива через боковую цепь
array.each	process each array elements via side-chain / обработка каждого элемента массива через боковую цепь
array.fill	fill the array with the single value, pattern or function / заполнение массива одним значением, шаблоном или функцией
array.grainer~	array granulator / гранулятор звуковой таблицы
array.hist	calculate the array histogram / вычисление гистограммы массива
array.histogram	calculate the array histogram / вычисление гистограммы массива
array.ltcplay~	array player controlled by LTC / проигрывание звуковой таблицы, с управлением по LTC
array.mean	calculates the array arithmetic mean value / вычисляет среднее арифметическое значение массива
array.minmax	find minimal and max values in the array / поиск минимального и максимального значения в массиве
array.play~	array player with variable speed and amplitude / проигрывание массива с изменяемой скоростью и амплитудой
array.p~	array player with variable speed and amplitude / проигрывание массива с изменяемой скоростью и амплитудой
array.plot	array data plotter / построение числовых графиков данных на массиве
array.plot~	plot the signal on the specified array / построение графика сигнала на заданном массиве
array.readwrite~	simultaneous read/write signals to the array / одновременное чтение/запись сигналов в массив
array.rw~	simultaneous read/write signals to the array / одновременное чтение/запись сигналов в массив
array.resample	resampling the array / пересемплирование массива
array.r	resampling the array / пересемплирование массива
array.rms	calculates the root-mean-square value for the array / вычисляет среднее квадратичное значение для массива
array.set	set the array content from the list data / устанавливает содержание массива данными из списка
ceammc/list->array	set the array content from the list data / устанавливает содержание массива данными из списка
list->array	set the array content from the list data / устанавливает содержание массива данными из списка
array.stddev	calculates standard deviation for array values / вычисляет стандартное отклонение для значений массива
array.stretch	the array time-stretch, pitch-shift or rate-change / растяжение во времени, изменение высоты тона или скорости у массива
array.sum	calculates sum of array elements / вычисляет сумму элементов массива
array.sum2	calculates sum of squares of array elements / вычисляет сумму квадратов элементов массива
array.tramp~	triggered ramp index generator for the array / запускаемый генератор линейного индекса для массива
array.variance	calculates variance of array values / вычисляет дисперсию значений массива
array.vplay	simple array player for using with the [vline~] object / простой плеер массивов для использования с объектом [vline~]
array.window	fills the array with the window function / заполнение массива оконной функцией
plot.geomspace~	generates a sequence of numbers that are evenly distributed on a logarithmic scale (geometric progression) / выводит последовательность равномерно распределенных по логарифмической шкале чисел (геометрическая прогрессия)
plot.hist~	calculates and displays the histogram of the input signal / вычисляет и выводит гистограмму входного сигнала
ceammc/hist~	calculates and displays the histogram of the input signal / вычисляет и выводит гистограмму входного сигнала
hist~	calculates and displays the histogram of the input signal / вычисляет и выводит гистограмму входного сигнала
plot.linspace~	generates a sequence of numbers that are uniformly distributed within the specified interval / выводит последовательность равномерно распределенных в заданном интервале числе
plot.logspace~	outputs numbers spaced evenly on a log scale / выводит последовательность равномерно распределенных по логарифмической шкале чисел
plot.response~	produces the amplitude, phase, and frequency responses to the input signal / выводит амплитудный, фазовый и частотный отклики на входной сигнал
bitmap	binary image (2D bit matrix) / бинарное изображение (битовая 2D-матрица)
ceammc/bitmap	binary image (2D bit matrix) / бинарное изображение (битовая 2D-матрица)
ceammc.search	search in the [ceammc] library / поиск в библиотеке [ceammc]
chrono.datetime	outputs the current date and time / выводит текущую дату и время
ceammc/datetime	outputs the current date and time / выводит текущую дату и время
datetime	outputs the current date and time / выводит текущую дату и время
convolve~	real-time FFT convolution / свёртка FFT в реальном времени
ceammc/convolve~	real-time FFT convolution / свёртка FFT в реальном времени
function	the named function / именованная функция
func	the named function / именованная функция
ceammc/func	the named function / именованная функция
ceammc/function	the named function / именованная функция
function.call	calls the named function / вызывает именованную функцию
func.call	calls the named function / вызывает именованную функцию
gain~	multichannel signal gain / многоканальное усиление сигнала
ceammc/gain~	multichannel signal gain / многоканальное усиление сигнала
gate~	multichannel signal gate / многоканальный гейт для сигналов
ceammc/gate~	multichannel signal gate / многоканальный гейт для сигналов
logger	advanced data logger for Pd window / продвинутый логгер для окна Pd
ceammc/logger	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.error	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.post	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.debug	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.verbose	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.stdout	advanced data logger for Pd window / продвинутый логгер для окна Pd
log.stderr	advanced data logger for Pd window / продвинутый логгер для окна Pd
matrix~	signal routing matrix / матрица маршрутизации сигналов
ceammc/matrix~	signal routing matrix / матрица маршрутизации сигналов
merge~	merge audio signals / слияние аудиосигналов
ceammc/merge~	merge audio signals / слияние аудиосигналов
metro.choice	a metronome that randomly selects a period for each beat from a given set / метроном со случайным выбором периода при каждом ударе из заданного списка
metro.pattern	metronome with rhythmic patterns / метроном с ритмическими паттернами
metro.random	a metronome with a random period selection within a specified range / метроном со случайным выбором периода в указанном диапазоне
metro.seq	a metronome that changes its period with each beat in the specified sequence / метроном изменяющий свой период при каждом ударе в указанной последовательности
metro.wchoice	a metronome with a random selection of period at each beat from a specified list with weighted coefficients / метроном со случайным выбором периода при каждом ударе из заданного списка с весовыми коэффициентами
mix~	multichannel signal mixer / многоканальный микшер сигналов
ceammc/mix~	multichannel signal mixer / многоканальный микшер сигналов
nsig~	multichannel converter from the control signals to audio / многоканальный преобразователь управляющих сигналов в звуковые
ceammc/nsig~	multichannel converter from the control signals to audio / многоканальный преобразователь управляющих сигналов в звуковые
obj.props	Extract object properties from the connected object / извлекает свойства из подключенного объекта
radio	upon receiving the index, the state of individual outputs is established as a radio switch / при поступлении индекса устанавлиет состояние отдельных выходов как радиопереключатель
ceammc/radio	upon receiving the index, the state of individual outputs is established as a radio switch / при поступлении индекса устанавлиет состояние отдельных выходов как радиопереключатель
split~	parametrized multichannel signal splitter / параметризованный многоканальный сплиттер сигналов
ceammc/split~	parametrized multichannel signal splitter / параметризованный многоканальный сплиттер сигналов
spring	behaves like a spring, bouncing back to its original state / ведет себя как пружина, возвращающаяся в первоначальное состояние
ceammc/spring	behaves like a spring, bouncing back to its original state / ведет себя как пружина, возвращающаяся в первоначальное состояние
sync	synchronization of multiple values without overflowing stack loops / синхронизация нескольких значений без переполняющих стек петель
ceammc/sync	synchronization of multiple values without overflowing stack loops / синхронизация нескольких значений без переполняющих стек петель
window	returns the value of the window function / возвращает значение оконной функции
ceammc/window	returns the value of the window function / возвращает значение оконной функции
ceammc/win	returns the value of the window function / возвращает значение оконной функции
win	returns the value of the window function / возвращает значение оконной функции
xdac~	[dac~] with channel ranges / [dac~] с диапазонами каналов
ceammc/xdac~	[dac~] with channel ranges / [dac~] с диапазонами каналов
xfade2~	multichannel cross-fade for stereo signals / многоканальный кроссфейд для стерео сигналов
ceammc/xfade2~	multichannel cross-fade for stereo signals / многоканальный кроссфейд для стерео сигналов
xfade~	multichannel cross-fade / многоканальный кроссфейд
ceammc/xfade~	multichannel cross-fade / многоканальный кроссфейд
z~	integer sample delay / целочисленная задержка сэмплов
ceammc/z~	integer sample delay / целочисленная задержка сэмплов
chaos.gbman0	Gingerbread man map chaotic generator / хаотический генератор на основе отображения Пряничного человечка
chaos.gbman0~	Gingerbread man map chaotic generator / хаотический генератор на основе отображения Пряничного человечка
chaos.jong	Peter de Jong attractor / аттрактор Питера де Йонга
noise.jong	Peter de Jong attractor / аттрактор Питера де Йонга
chaos.logistic	logistic map chaotic generator / хаотический генератор на основе логистического отображения
noise.logistic	logistic map chaotic generator / хаотический генератор на основе логистического отображения
chaos.std0	standard map chaotic generator / хаотический генератор на основе стандартного отображения
chaos.std0~	standard map chaotic generator / хаотический генератор на основе стандартного отображения
array.p2s	converting the array phase [0..1] to the sample index / преобразование фазы массива [0..1] в индекс семпла
array.p->s	converting the array phase [0..1] to the sample index / преобразование фазы массива [0..1] в индекс семпла
array.phase->sample	converting the array phase [0..1] to the sample index / преобразование фазы массива [0..1] в индекс семпла
array.s2p	convert the sample index to the phase range [0..1] / преобразование индекса семпла в фазовый диапазон [0..1]
array.s->p	convert the sample index to the phase range [0..1] / преобразование индекса семпла в фазовый диапазон [0..1]
